Player Name,Search Date,Position,Team (as of May 2017),Assault-related?,Details,Status,NFL response,Team response,Incident Date,Source Date,Link
Nelson Agholor,1/21/2018,WR,Philadelphia Eagles,1,accused of sexually assaulting a dancer at a strip club,"Accused, not charged",N/A,N/A,6/2016,7/18/2016,http://www.espn.com/nfl/story/_/id/17099483/nelson-agholor-philadelphia-eagles-charged-sexual-assault-case
C.J. Beathard,1/23/2018,QB,San Francisco 49ers,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Jacoby Brissett,1/23/2018,QB,Indianapolis Colts,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Matt Cassel,1/23/2018,QB,Tennessee Titans,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Jay Cutler,1/23/2018,QB,Miami Dolphins,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
David Fales,1/23/2018,QB,Miami Dolphins,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Ryan Fitzpatrick,1/23/2018,QB,Tampa Bay Buccaneers,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Jameis Winston,1/23/2018,QB,Tampa Bay Buccaneers,1,accused of sexual assault: groping Uber driver's crotch,Accused,N/A,N/A,3/13/16,11/17/17,https://www.buzzfeed.com/talalansari/jameis-winston?utm_term=.nwKWb9jrq#.umQ06OdNn
Nick Foles,1/23/2018,QB,Philadelphia Eagles,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Blaine Gabbert,1/23/2018,QB,Arizona Cardinals,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Jimmy Garoppolo,1/23/2018,QB,San Francisco 49ers,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Mike Glennon,1/23/2018,QB,Chicago Bears,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Jared Goff,1/23/2018,QB,Los Angeles Rams,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Kevin Hogan,1/23/2018,QB,Cleveland Browns,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Brian Hoyer,1/23/2018,QB,New England Patriots,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Brett Hundley,1/23/2018,QB,Green Bay Packers,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Case Keenum,1/23/2018,QB,Minnesota Vikings,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Cody Kessler,1/23/2018,QB,Cleveland Browns,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
DeShone Kizer,1/23/2018,QB,Cleveland Browns,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Paxton Lynch,1/23/2018,QB,Denver Broncos,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Patrick Mahomes,1/23/2018,QB,Kansas City Chiefs,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Sean Mannion,1/23/2018,QB,Los Angeles Rams,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
EJ Manuel,1/23/2018,QB,Oakland Raiders,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Josh McCown,1/23/2018,QB,New York Jets,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Quincy Enunwa,1/23/2018,WR,New York Jets,1,"simple assault, pulled a woman off her bed","Arrested, charged, charges dismissed",Suspended for four games,N/A,8/31/2014,10/19/2015,https://www.nytimes.com/2015/10/20/sports/football/jets-quincy-enunwa-suspended-for-four-games.html
Matt Moore,1/23/2018,QB,Miami Dolphins,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Brock Osweiler,1/23/2018,QB,Denver Broncos,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Nathan Peterman,1/23/2018,QB,Buffalo Bills,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Bryce Petty,1/23/2018,QB,New York Jets,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Dak Prescott,1/23/2018,QB,Dallas Cowboys,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Tom Savage,1/23/2018,QB,Houston Texans,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Trevor Siemian,1/23/2018,QB,Denver Broncos,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Geno Smith,1/23/2018,QB,New York Giants,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Drew Stanton,1/23/2018,QB,Arizona Cardinals,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Mitchell Trubisky,1/23/2018,QB,Chicago Bears,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Deshaun Watson,1/23/2018,QB,Houston Texans,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
T.J. Yates,1/23/2018,QB,Houston Texans,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
