Player Name,Search Date,Position,Team (as of May 2017),Assault-related?,Details,Status,NFL response,Team response,Incident Date,Source Date,Link
Randall Cobb,1/3/2018,WR,Green Bay Packers,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Martavis Bryant,1/7/2018,WR,Pittsburgh Steelers,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Jamison Crowder,1/7/2018,WR,Washington Redskins,1,accused via social media of domestic violence,"Accused, not charged",No suspension,N/A,6/2015,9/3/2015,http://www.espn.com/nfl/story/_/id/13570908/jamison-crowder-washington-redskins-suspended-domestic-violence-allegations
Corey Davis,1/7/2018,WR,Tennessee Titans,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Pierre Garcon,1/7/2018,WR,San Francisco 49ers,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Jeremy Maclin,1/7/2018,WR,Kansas City Chiefs,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Rishard Matthews,1/7/2018,WR,Tennessee Titans,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
John Brown,1/7/2018,WR,Arizona Cardinals,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Adam Thielen,1/7/2018,WR,Minnesota Vikings,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Corey Coleman,1/7/2018,WR,Cleveland Browns,0,"cleared of assaulting a man, no evidence found","Accused, cleared but others charged, sued",N/A,N/A,12/31/2016,8/8/2017,http://bleacherreport.com/articles/2726373-browns-corey-coleman-wont-be-charged-with-assault-due-to-lack-of-dna-evidence
Jordan Matthews,1/7/2018,WR,Philadelphia Eagles,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Marvin Jones,1/7/2018,WR,Detroit Lions,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Devante Parker,1/7/2018,WR,Miami Dolphins,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Kenny Britt,1/7/2018,WR,Cleveland Browns,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Sterling Shepard,1/7/2018,WR,New York Giants,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Mike Wallace,1/7/2018,WR,Baltimore Ravens,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Rob Gronkowski,1/13/2018,TE,New England Patriots,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Travis Kelce,1/13/2018,TE,Kansas City Chiefs,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Greg Olsen,1/13/2018,TE,Carolina Panthers,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Jordan Reed,1/13/2018,TE,Washington Redskins,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Jimmy Graham,1/13/2018,TE,Seattle Seahawks,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Tyler Eifert,1/13/2018,TE,Cincinnati Bengals,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Delanie Walker,1/13/2018,TE,Tennessee Titans,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Zach Ertz,1/13/2018,TE,Philadelphia Eagles,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Martellus Bennett,1/13/2018,TE,Green Bay Packers,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Hunter Henry,1/13/2018,TE,Los Angeles Chargers,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Kyle Rudolph,1/13/2018,TE,Minnesota Vikings,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Jason Witten,1/13/2018,TE,Dallas Cowboys,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
Eric Ebron,1/13/2018,TE,Detroit Lions,0,N/A,No records found,N/A,N/A,N/A,N/A,N/A
